trial,response,first,start_time,rt,correct,fact_id,question_type,question,answer,alpha
85,,False,1163738.8854980469,1843.311279296875,False,12,Genus,"Bicolored foxface, scribbled rabbitfish, Magnificent rabbitfish",Siganus,0.3
86,mambus,False,1176488.1918945312,4581.780029296875,True,9,Genus,"Taveta weaver, Black-billed weaver",Malimbus,0.43671874999999993
87,phelsuma,False,1184209.5832519531,2062.077392578125,True,7,Genus,"Blue-tailed day gecko, Yellow-headed day gecko",Phelsuma,0.34882812500000004
88,,False,1190833.0288085938,2062.077392578125,False,3,Family,"Euplectus, Malimbus",Ploceidae,0.349609375
89,red bishop weaver,False,1200072.3974609375,3936.673583984375,True,18,Species,./species/18.png,Red Bishop Weaver,0.287109375
90,mambus,False,1208141.6843261719,2015.237060546875,True,9,Genus,"Taveta weaver, Black-billed weaver",Malimbus,0.387109375
91,taveta weaver,False,1213265.5268554688,2265.128662109375,True,20,Species,./species/20.png,Taveta weaver,0.20078125
92,siguna,False,1220884.35546875,5061.34716796875,False,12,Genus,"Bicolored foxface, scribbled rabbitfish, Magnificent rabbitfish",Siganus,0.349609375
93,,False,1230991.3432617188,5061.34716796875,False,11,Genus,"Yellow spotted scorpionfish, Barchin scorpionfish",Sebastapistes,0.25078124999999996
94,,False,1244373.8806152344,5061.34716796875,False,3,Family,"Euplectus, Malimbus",Ploceidae,0.39921874999999996
95,luna lionfish,False,1253660.123046875,1296.614013671875,True,23,Species,./species/23.png,Luna lionfish,0.20078125
96,common flat tailed gecko,False,1260491.3461914062,5545.61669921875,True,13,Species,./species/13.png,Common flat-tailed gecko,0.29999999999999993
97,uroplatus,True,1271960.9382324219,3764.814208984375,False,6,Genus,"Common flat-tail gecko, Satanic leaf-tailed gecko",Uroplatus,0.3
98,sigunas,False,1280645.4211425781,3061.823974609375,True,12,Genus,"Bicolored foxface, scribbled rabbitfish, Magnificent rabbitfish",Siganus,0.34921875
99,uroplatus,False,1290353.9494628906,1999.578125,True,6,Genus,"Common flat-tail gecko, Satanic leaf-tailed gecko",Uroplatus,0.3
100,ploceidae,False,1295540.2309570312,3530.4755859375,True,3,Family,"Euplectus, Malimbus",Ploceidae,0.4488281249999999
101,pteroidae,False,1302845.0786132812,8326.227783203125,False,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.29999999999999993
102,bicolored foxface,False,1319137.1550292969,1609.075439453125,True,26,Species,./species/26.png,Bicolored foxface,0.21601562500000002
103,ploceidae,False,1326052.8151855469,4702.06494140625,True,3,Family,"Euplectus, Malimbus",Ploceidae,0.4671875
104,mambus,False,1334197.7065429688,3092.991455078125,True,9,Genus,"Taveta weaver, Black-billed weaver",Malimbus,0.38749999999999996
105,uroplatus,False,1340574.3110351562,2733.770263671875,True,6,Genus,"Common flat-tail gecko, Satanic leaf-tailed gecko",Uroplatus,0.27460937500000004
106,gekkonidae,True,1346600.9851074219,3093.0625,False,2,Family,"Uroplatus, Phelsuma",Gekkonidae,0.3
107,ploceidae,False,1354842.0947265625,2140.167724609375,True,3,Family,"Euplectus, Malimbus",Ploceidae,0.466796875
108,gekonidae,False,1361333.1264648438,1780.88330078125,True,2,Family,"Uroplatus, Phelsuma",Gekkonidae,0.3
109,common flat tailed gecko,False,1370596.2014160156,1359.130615234375,True,13,Species,./species/13.png,Common flat-tailed gecko,0.29960937499999996
110,sigunas,False,1378333.9423828125,3264.937255859375,True,12,Genus,"Bicolored foxface, scribbled rabbitfish, Magnificent rabbitfish",Siganus,0.34882812500000004
111,siganidae,True,1386260.1682128906,6576.632080078125,False,5,Family,Siganus,Siganidae,0.3
112,pterois,False,1398415.1831054688,7076.509765625,True,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.3496093749999999
113,siganidae,False,1411985.1354980469,2405.760986328125,True,5,Family,Siganus,Siganidae,0.3
114,ploceidae,False,1417949.1518554688,3186.834228515625,True,3,Family,"Euplectus, Malimbus",Ploceidae,0.49140625000000004
115,gekonidae,False,1424995.2060546875,1609.07275390625,True,2,Family,"Uroplatus, Phelsuma",Gekkonidae,0.250390625
116,scorpionidae,False,1431323.0493164062,3593.463623046875,True,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.29999999999999993
117,euplectes,False,1441244.3647460938,13543.73974609375,True,8,Genus,"Red Bishop Weaver, Long-tailed widowbird",Euplectes,0.29999999999999993
118,ploceidae,False,1458899.1110839844,2296.41162109375,True,3,Family,"Euplectus, Malimbus",Ploceidae,0.46757812500000007
119,pterois,False,1464532.9348144531,2577.56103515625,True,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.3492187499999999
120,siganidae,False,1469932.9184570312,1343.47021484375,True,5,Family,Siganus,Siganidae,0.250390625
121,chordata,True,1476261.1501464844,4327.12060546875,False,1,Phylum,"Gekkonidae, Ploceidae, Scorpaenidae, Siganidae",Chordata,0.3
122,mambus,False,1487818.525390625,2046.427978515625,True,9,Genus,"Taveta weaver, Black-billed weaver",Malimbus,0.384765625
123,chordata,False,1492583.033203125,1093.542236328125,True,1,Phylum,"Gekkonidae, Ploceidae, Scorpaenidae, Siganidae",Chordata,0.3
124,phelsuma,False,1497472.5139160156,4202.183837890625,True,7,Genus,"Blue-tailed day gecko, Yellow-headed day gecko",Phelsuma,0.34921875
125,siganus,False,1505602.7944335938,8904.211669921875,True,12,Genus,"Bicolored foxface, scribbled rabbitfish, Magnificent rabbitfish",Siganus,0.3984375
126,ploceidae,False,1518496.6091308594,1858.943115234375,True,3,Family,"Euplectus, Malimbus",Ploceidae,0.46015625000000004
127,scorpionidae,False,1523461.8210449219,3030.575439453125,True,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.32539062499999993
128,uroplatus,False,1533374.9208984375,9716.51123046875,True,6,Genus,"Common flat-tail gecko, Satanic leaf-tailed gecko",Uroplatus,0.30000000000000004
129,euplectes,False,1546674.3142089844,3749.208740234375,True,8,Genus,"Red Bishop Weaver, Long-tailed widowbird",Euplectes,0.3496093749999999
130,chordata,False,1554134.9086914062,1843.357666015625,True,1,Phylum,"Gekkonidae, Ploceidae, Scorpaenidae, Siganidae",Chordata,0.250390625
131,siganus,False,1559539.8928222656,2640.056396484375,True,12,Genus,"Bicolored foxface, scribbled rabbitfish, Magnificent rabbitfish",Siganus,0.34882812500000004
132,red bishop weaver,False,1565593.5029296875,2296.337158203125,True,18,Species,./species/18.png,Red Bishop Weaver,0.28515625
133,pterois,False,1572504.2954101562,4577.15185546875,True,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.36367187499999987
134,common flat tailed gecko,False,1580953.7231445312,1109.15771484375,True,13,Species,./species/13.png,Common flat-tailed gecko,0.24999999999999997
135,ploceidae,False,1588156.7761230469,2702.527099609375,True,3,Family,"Euplectus, Malimbus",Ploceidae,0.460546875
136,euplectes,False,1593965.1291503906,5529.9970703125,True,8,Genus,"Red Bishop Weaver, Long-tailed widowbird",Euplectes,0.36406249999999984
137,mambus,False,1603674.1511230469,1890.205322265625,True,9,Genus,"Taveta weaver, Black-billed weaver",Malimbus,0.359375
138,scorpionides,False,1608579.2238769531,2062.11328125,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.3374999999999999
139,,False,1619008.4743652344,2062.11328125,False,11,Genus,"Yellow spotted scorpionfish, Barchin scorpionfish",Sebastapistes,0.3003906249999999
